z,d_L,Δd_L
1.911281784553702234e-01,9.630498391079315752e+02,6.652512610020713169e+01
1.665787700377932556e-01,8.271846783227570086e+02,5.713989328377166288e+01
1.539568572211487130e-01,7.586421320876186201e+02,5.240514192786511671e+01
1.895347744647438160e-01,9.541305851870774859e+02,6.590900586664351124e+01
1.656800943141251425e-01,8.222747169462644479e+02,5.680072516759101120e+01
1.942650879445845802e-01,9.806494619824402434e+02,6.774086497840194454e+01
1.705483173526410046e-01,8.489267217720716872e+02,5.864178043790028738e+01
1.500230233756052189e-01,7.374647940131096675e+02,5.094226323907533072e+01
1.808615553285530808e-01,9.058252193506882577e+02,6.257218940804869334e+01
1.737270537832745765e-01,8.664008697133710939e+02,5.984885181477254434e+01
1.707163698763295157e-01,8.498491275163652290e+02,5.870549796939535980e+01
1.975871568906628351e-01,9.993461890687500500e+02,6.903238913070339322e+01
2.443281358942834269e-01,1.268623784429909392e+03,8.179119801008803847e+01
2.099465178975049584e-01,1.069427398162205009e+03,6.894853238133563877e+01
2.203819217249587126e-01,1.129233371576692662e+03,7.280436598130916082e+01
2.350082354627630044e-01,1.214020027464123586e+03,7.827076369938316702e+01
2.371747310304461454e-01,1.226673334383494421e+03,7.908655254429257297e+01
2.495365752345837518e-01,1.299332663799039437e+03,8.377107263010955762e+01
2.031314014421268521e-01,1.030682236159000240e+03,6.645053947261752114e+01
2.310317909544598036e-01,1.190858935566260016e+03,7.677751292102156810e+01
2.367694504974907077e-01,1.224304473755831623e+03,7.893382645557073829e+01
2.463068159865455797e-01,1.280273787433845200e+03,8.254230146109358657e+01
2.234350294833471751e-01,1.146839557464204972e+03,7.393947873404306392e+01
2.111793578075191746e-01,1.076462805734985068e+03,6.940212187014181211e+01
2.110069068132528480e-01,1.075478198565978573e+03,6.933864190002715588e+01
2.429110428215977002e-01,1.260292554762658938e+03,8.125406378342066205e+01
2.181809729128781072e-01,1.116571682425925701e+03,7.198803671397011783e+01
2.210277658784217114e-01,1.132953642700574164e+03,7.304422072459804838e+01
2.137053093245612212e-01,1.090902811607616286e+03,7.033310345356369453e+01
2.265098769185837080e-01,1.164620471886130417e+03,7.508585665169945855e+01
2.348396537704600384e-01,1.213036450436359019e+03,7.820735014492878179e+01
2.205341163635924917e-01,1.130109864390228040e+03,7.286087556133293219e+01
2.016650169769990397e-01,1.022378127663271016e+03,6.591515381249712391e+01
2.067351308566169887e-01,1.051139129617917888e+03,6.776944413458670624e+01
2.004793616970822756e-01,1.015672244555120756e+03,6.548280955105187218e+01
2.161490775381327278e-01,1.104905206977942953e+03,7.123587124524954106e+01
2.358114029431923886e-01,1.218708061909824664e+03,7.857301244982635069e+01
2.081325303025071405e-01,1.059090300322916846e+03,6.828207505442779279e+01
2.293554718826656680e-01,1.181119661360753753e+03,7.614959870816052501e+01
2.319030926737148945e-01,1.195926888724129185e+03,7.710425593603400785e+01
2.207364738850507713e-01,1.131275435162345502e+03,7.293602268610473516e+01
2.093105942534058406e-01,1.065801558229603188e+03,6.871476584194067527e+01
2.184980272610170249e-01,1.118394069500961677e+03,7.210553035072410921e+01
2.457770431685735446e-01,1.277152653039156348e+03,8.234107449024122616e+01
