z,SNR,m1,m2,Mc,eta,dL,iota,theta,phi,psi
1.741172,108.438255,1616811.011738,968167.829887,2966270.697805,0.234259,13423.207039,1.314642,1.456495,1.300562,1.679685
1.677271,589.443858,49685.576828,34428.960106,96075.061631,0.241775,12821.771083,0.720330,1.209944,4.337507,0.636109
1.788022,1136.088902,244413.149817,118101.188434,407060.054072,0.219649,13866.954572,1.475075,1.382020,2.897526,0.909681
1.581563,1107.092802,320564.733547,166652.391916,514013.618490,0.225052,11929.600205,0.494814,0.479552,5.796500,4.749676
2.053573,533.087331,380628.876741,201286.091465,728493.557531,0.226254,16423.052685,1.277137,2.355781,0.444773,5.481501
1.976201,57.264062,3626512.419454,2756555.984620,8176547.226697,0.245356,15671.484261,1.077154,2.058575,2.211410,5.674488
2.097554,415.730142,362001.103566,249062.246554,806886.128050,0.241460,16852.601041,1.184364,1.595958,0.536104,5.060601
1.699832,45.365139,7800939.871440,4589466.177202,13965774.795864,0.233205,13033.600520,0.240407,1.270765,1.664688,3.170197
1.864963,66.983000,2851783.878073,285950.051006,2016693.363782,0.082828,14600.602113,1.341837,1.690878,1.874200,1.809282
1.999566,111.204930,1615819.345719,843574.033523,3017188.801024,0.225351,15897.884976,1.042795,1.735728,1.404145,4.680125
2.032701,130.870200,1738404.113704,1346074.453963,4032043.418206,0.245955,16219.788758,0.969109,2.331997,4.353506,3.426172
1.874829,342.068367,687808.183370,633671.947203,1651957.791486,0.249580,14695.101190,1.405660,1.835486,5.965498,4.587272
1.961516,503.592155,210679.760522,203068.057493,533243.545253,0.249915,15529.448214,1.157048,0.745489,0.758762,2.734424
1.815195,697.007640,64070.479437,48178.482112,135887.220341,0.244989,14125.366703,0.409792,2.060525,1.622726,4.502705
2.080709,617.145248,155380.769114,130298.093324,381308.272044,0.248073,16687.886270,1.565439,1.790057,2.026720,5.314667
1.829058,594.406875,890785.583715,232497.970478,1074630.894677,0.164140,14257.494351,0.684443,0.672244,3.194814,1.186984
1.997121,721.262225,184434.465135,95926.124721,343422.116770,0.225084,15874.166053,1.377116,1.825875,3.560639,2.375162
2.026982,768.201846,178810.525236,121357.615795,386734.582817,0.240841,16164.156757,1.146956,2.252623,2.931103,0.081440
1.921426,591.532624,426441.648580,56607.848163,361774.786032,0.103455,15142.703577,0.897965,1.109682,0.266808,0.983002
2.068006,139.322843,3082416.597885,1900864.683510,6427745.738363,0.235946,16563.835869,0.687736,2.368691,0.742353,1.856393
1.976145,95.346992,5471362.573052,1847494.437202,8008894.734960,0.188709,15670.940351,0.528353,2.571243,0.100364,1.451696
1.747101,237.418154,523579.501099,247736.277774,849594.296408,0.218026,13479.242269,1.326662,1.593087,1.290202,3.561261
1.841224,159.795550,2031175.118246,1481071.929350,4279397.243386,0.243867,14373.612837,0.665421,0.869478,0.544111,1.743689
1.941287,696.767269,363224.988947,66904.401549,374279.339527,0.131351,15334.115743,0.493113,0.441447,0.386045,5.761652
2.238483,604.474642,700628.571651,201318.340237,1020770.471112,0.173384,18239.847787,0.302272,1.846235,5.650428,5.708983
1.702414,458.403398,559800.770424,245046.401269,856995.019240,0.211765,13057.883804,1.275817,2.447788,5.344535,6.164071
2.961699,64.418319,1553156.018417,842605.628353,3909276.932127,0.228009,25579.599012,1.377666,2.475008,4.441285,1.023810
2.747073,60.287859,2618401.426354,2101076.112379,7641879.024584,0.246996,23366.969601,1.031526,1.375689,2.072009,3.763398
2.506617,280.689670,33748.015133,3923.191277,31828.716004,0.093297,20921.041203,0.395790,2.399207,0.821012,2.251557
2.493718,83.896240,8681.133759,4711.304872,19272.877346,0.228033,20790.891618,0.835478,2.356968,2.423475,3.056295
2.713441,197.318207,11530.676498,5332.911687,24984.921063,0.216232,23022.681229,1.010603,1.129974,2.956564,0.577044
2.407143,185.315083,1338523.232445,441730.354337,2214949.932395,0.186560,19920.322573,0.596028,2.125565,4.539947,1.792446
2.535723,353.859834,63166.487672,56899.700358,184481.207934,0.249319,21215.123299,1.173567,1.249954,4.301224,0.600992
2.815837,149.925803,554270.716008,511373.660244,1768249.289886,0.249595,24072.992187,1.129858,2.332678,4.592875,4.778886
2.575515,88.871806,15764.974971,6320.392394,30449.493578,0.204281,21618.086518,1.446855,1.916241,1.020645,0.480737
2.826989,210.785260,310960.279773,161545.788410,738883.658769,0.225002,24187.757128,1.429328,1.560323,1.971772,4.864815
2.484769,94.915555,19118.146034,9921.988734,41342.897593,0.224930,20700.655200,1.456883,2.486194,3.186629,1.627959
2.487840,1968.335067,166086.454598,101825.935833,392530.640514,0.235617,20731.616542,0.541822,1.201932,2.772249,4.832787
2.410109,409.940741,283245.542320,211278.641647,724672.742760,0.244705,19950.055690,1.112506,1.021323,5.907824,3.683865
2.734994,111.896146,23502.166754,18163.444077,67068.418649,0.245896,23243.246111,1.311406,1.846226,1.821950,6.034561
2.635501,143.305460,2142230.176935,630983.731882,3552205.811329,0.175759,22227.489309,0.992992,1.433575,2.367921,4.304690
2.594290,200.568238,847820.548099,130038.551782,961575.820061,0.115298,21808.579359,0.829916,1.722629,0.629412,3.166305
2.623699,306.773115,452756.546893,108470.254951,666852.394019,0.155919,22107.416808,0.533857,1.940971,2.123260,1.098215
2.756270,236.543746,1701144.766156,975167.307844,4179666.587564,0.231604,23461.233032,0.319302,1.446955,3.455496,0.820102
2.621094,1309.604160,230002.772568,119181.677353,516409.718619,0.224819,22080.924765,0.501445,2.411735,5.227657,0.087464
2.830898,294.483557,888035.636715,501052.754704,2206697.908487,0.230597,24227.998094,0.742624,1.664844,2.854231,4.754672
2.864996,313.056928,619420.565539,351003.495904,1556449.358774,0.230873,24579.417997,0.218841,2.708788,4.684530,1.439047
2.639392,249.567214,496218.300123,178652.338063,920012.190313,0.194644,22267.099131,0.279322,2.397522,2.658904,1.720734
2.512124,426.517579,356112.346112,180122.394025,765581.947588,0.223072,20976.634200,1.059206,1.618014,0.343734,5.048583
2.757295,388.564898,319536.544326,190723.395390,802179.807101,0.234068,23471.749112,0.748280,1.120984,5.674816,2.944006
2.713357,252.715598,21971.565479,18928.188652,65887.741930,0.248616,23021.829317,1.084685,0.070141,2.695512,0.352701
2.735343,388.608166,182086.283570,27344.717754,212037.533712,0.113519,23246.819667,1.374718,2.813946,5.298461,4.401130
2.641229,14.336595,5173558.541904,757172.149306,5786511.073367,0.111370,22285.808480,1.051516,2.846900,2.862736,2.330151
2.846965,319.633698,596665.021425,444434.357119,1720849.023704,0.244655,24393.510021,0.346292,0.695986,4.088386,0.212336
2.756756,30.554339,784110.269200,17404.543320,298575.769902,0.021243,23466.222353,1.430386,0.842605,1.167564,3.272311
2.710678,54.039192,1615829.500778,580896.927469,3052072.832653,0.194510,22994.436764,1.277105,1.624595,4.128452,0.410131
2.612077,384.525392,51893.231158,39572.562832,142235.558717,0.245464,21989.250477,1.491281,1.787214,3.104127,0.517743
2.567725,98.691588,989765.376445,578968.591697,2334500.117195,0.232857,21539.119808,1.320616,1.617299,4.878625,2.058740
2.535854,545.983609,208133.756769,102758.332212,444701.082998,0.221279,21216.451124,0.843050,2.359932,1.621987,1.205962
3.009811,352.224605,225691.762724,161546.167107,664684.723456,0.243140,26079.115198,0.928377,1.911059,1.164573,0.990000
2.585744,99.649683,750742.353236,559710.303770,2019145.047956,0.244687,21721.838614,1.445357,2.109410,4.522727,4.616474
2.468992,355.173374,33784.638043,16058.360687,69396.055030,0.218380,20541.725223,0.309334,0.630650,1.041332,4.342682
2.688832,267.430237,15274.394143,9674.845829,38836.692659,0.237407,22771.203507,0.305076,0.888605,1.586378,0.948690
2.656958,327.680685,107294.248986,26877.871624,163519.784438,0.160194,22446.034295,1.077407,1.439476,4.890743,4.936645
2.737514,649.299842,195989.267280,98668.069740,447264.767690,0.222728,23269.044489,0.924911,2.658120,4.404077,2.955836
2.645749,477.311246,56087.634634,53715.895997,174198.907042,0.249883,22331.829891,0.647063,1.104905,4.627850,4.281729
2.609146,481.864331,66719.504672,57257.226424,194082.456755,0.248544,21959.464571,1.546510,2.783515,5.566106,2.463266
2.876850,104.747803,861742.881809,759540.790111,2729382.675529,0.249007,24701.734299,1.328938,0.991462,5.981257,0.021484
2.817497,228.853290,387358.033884,304386.319071,1139494.275804,0.246403,24090.069025,0.965634,1.903400,3.526795,3.827702
2.440642,131.460468,26742.004352,15672.398223,60888.381258,0.232971,20256.553393,1.373544,1.009157,1.186664,0.826755
2.554315,1634.017620,214979.203924,112722.500767,476765.070950,0.225657,21403.270617,0.364494,1.663798,0.129841,5.784992
2.433166,1120.934019,219044.873968,93308.251005,419795.275629,0.209489,20181.452067,0.845014,1.617993,0.370807,0.365091
2.463432,79.847452,1759787.030995,1226362.237866,4415010.244671,0.242023,20485.754084,1.177726,1.787521,4.041970,0.966939
2.389076,251.603834,436314.201022,199461.429108,857463.142593,0.215303,19739.304964,0.655790,1.015176,1.039664,2.186014
